-30,204,255,255
-25,204,153,204
-20,153,102,153
-15,102,51,102
-10,204,204,153
-5,153,153,102
0,100,100,100
5,4,233,231
10,1,159,244
15,3,0,244
20,2,253,2
25,1,197,1
30,0,142,0
35,253,248,2
40,229,188,0
45,253,149,0
50,253,0,0
55,212,0,0
60,188,0,0
65,248,0,253
70,152,84,198
75,253,253,253
