 	CTC001 	Fairfield
atom 	CTC003 	Hartford
atom 	CTC005 	Litchfield
atom 	CTC007 	Middlesex
atom 	CTC009 	New Haven
atom 	CTC011 	New London
atom 	CTC013 	Tolland
atom 	CTC015 	Windham


