 	TXC001 	Anderson
atom 	TXC427 	Starr
atom 	TXC429 	Stephens
atom 	TXC431 	Sterling
atom 	TXC433 	Stonewall
atom 	TXC435 	Sutton
atom 	TXC437 	Swisher
atom 	TXC439 	Tarrant
atom 	TXC441 	Taylor
atom 	TXC443 	Terrell
atom 	TXC445 	Terry
atom 	TXC447 	Throckmorton
atom 	TXC449 	Titus
atom 	TXC451 	Tom Green
atom 	TXC453 	Travis
atom 	TXC455 	Trinity
atom 	TXC457 	Tyler
atom 	TXC459 	Upshur
atom 	TXC461 	Upton
atom 	TXC463 	Uvalde
atom 	TXC465 	Val Verde
atom 	TXC467 	Van Zandt
atom 	TXC469 	Victoria
atom 	TXC471 	Walker
atom 	TXC473 	Waller
atom 	TXC475 	Ward
atom 	TXC477 	Washington
atom 	TXC479 	Webb
atom 	TXC481 	Wharton
atom 	TXC483 	Wheeler
atom 	TXC485 	Wichita
atom 	TXC487 	Wilbarger
atom 	TXC489 	Willacy
atom 	TXC491 	Williamson
atom 	TXC493 	Wilson
atom 	TXC495 	Winkler
atom 	TXC497 	Wise
atom 	TXC499 	Wood
atom 	TXC501 	Yoakum
atom 	TXC503 	Young
atom 	TXC505 	Zapata
atom 	TXC507 	Zavala
