	MAC001 	Barnstable
atom 	MAC003 	Berkshire
atom 	MAC005 	Bristol
atom 	MAC007 	Dukes
atom 	MAC009 	Essex
atom 	MAC011 	Franklin
atom 	MAC013 	Hampden
atom 	MAC015 	Hampshire
atom 	MAC017 	Middlesex
atom 	MAC019 	Nantucket
atom 	MAC021 	Norfolk
atom 	MAC023 	Plymouth
atom 	MAC025 	Suffolk
atom 	MAC027 	Worcester
