 	AMZ011 	Caribbean Nof 18N W of 85W including Yucatan Basin
atom 	ANZ052 	Intra Coastal Waters from Schoodic Point, ME to Stonington, ME
atom 	ANZ070 	Waters from Eastport ME to Schoodic Point, ME from 25 to 40 nm
atom 	ANZ071 	Waters from Schoodic Point, ME to Stonington ME from 25 to 40 nm
atom 	ANZ150 	Coastal Waters from Stonington, ME to Port Clyde, ME out 25 NM
atom 	ANZ151 	Penobscot Bay
atom 	ANZ152 	Coastal Waters from Port Clyde, ME to Cape Elizabeth, ME out 25 NM
atom 	ANZ153 	Casco Bay
atom 	ANZ154 	Coastal Waters from Cape Elizabeth, ME to Merrimack River, MA out 25 NM
atom 	ANZ170 	Waters from Stonington ME to Port Clyde ME from 25 to 40 nm
atom 	ANZ172 	Waters from Port Clyde ME to Cape Elizabeth ME from 25 to 40 nm
atom 	ANZ174 	Waters from Cape Elizabeth ME to Merrimack River MA from 25 to 40 nm
atom 	ANZ230 	Boston Harbor
atom 	ANZ231 	Cape Cod Bay
atom 	ANZ232 	Nantucket Sound
atom 	ANZ233 	Vineyard Sound
atom 	ANZ234 	Buzzards Bay
atom 	ANZ235 	Rhode Island Sound
atom 	ANZ236 	Narragansett Bay
atom 	ANZ237 	Block Island Sound
atom 	ANZ250 	Coastal waters east of Ipswich Bay and the Stellwagen Bank National Marine Sanctuary
atom 	ANZ251 	Massachusetts Bay and Ipswich Bay
atom 	ANZ254 	Coastal waters from Provincetown MA to Chatham MA to Nantucket MA out 20 nm
atom 	ANZ255 	Coastal Waters extending out to 25 nm South of Marthas Vineyard and Nantucket
atom 	ANZ256 	Coastal Waters from Montauk NY to Marthas Vineyard extending out to 20 nm South of Block Island
atom 	ANZ270 	Ocean Waters from the Merrimack River to Plymouth from 40 to 60 NM offshore
atom 	ANZ271 	Ocean Waters from Provincetown to Nantucket from 20 to 35 NM offshore
atom 	ANZ272 	Ocean Waters from Marthas Vineyard to Nantucket from 25 to 45 NM offshore
atom 	ANZ273 	Ocean Waters from Montauk NY to Marthas Vineyard from 25 to 40 NM offshore
atom 	ANZ330 	Long Island Sound East of New Haven CT/Port Jefferson NY
atom 	ANZ335 	Long Island Sound West of New Haven CT/Port Jefferson NY
atom 	ANZ338 	New York Harbor
atom 	ANZ340 	Peconic and Gardiners Bays
atom 	ANZ345 	South Shore Bays from Jones Inlet through Shinnecock Bay
atom 	ANZ350 	Moriches Inlet NY to Montauk Point NY out 20 nm
atom 	ANZ353 	Fire Island Inlet NY to Moriches Inlet NY out 20 nm
atom 	ANZ355 	Sandy Hook NJ to Fire Island Inlet NY out 20 nm
atom 	ANZ370 	Waters from Moriches Inlet NY to Montauk Point NY from 20 to 40 NM
