 	RIZ001 	Northwest Providence
atom 	RIZ002 	Southeast Providence
atom 	RIZ003 	Western Kent
atom 	RIZ004 	Eastern Kent
atom 	RIZ005 	Bristol
atom 	RIZ006 	Washington
atom 	RIZ007 	Newport
atom 	RIZ008 	Block Island
