 	TXZ001 	Dallam
atom 	TXZ201 	Hardin
atom 	TXZ202 	Kinney
atom 	TXZ203 	Uvalde
atom 	TXZ204 	Medina
atom 	TXZ205 	Bexar
atom 	TXZ206 	Comal
atom 	TXZ207 	Guadalupe
atom 	TXZ208 	Caldwell
atom 	TXZ209 	Fayette
atom 	TXZ210 	Colorado
atom 	TXZ211 	Austin
atom 	TXZ212 	Waller
atom 	TXZ213 	Harris
atom 	TXZ214 	Chambers
atom 	TXZ215 	Jefferson
atom 	TXZ216 	Orange
atom 	TXZ217 	Maverick
atom 	TXZ218 	Zavala
atom 	TXZ219 	Frio
atom 	TXZ220 	Atascosa
atom 	TXZ221 	Wilson
atom 	TXZ222 	Karnes
atom 	TXZ223 	Gonzales
atom 	TXZ224 	De Witt
atom 	TXZ225 	Lavaca
atom 	TXZ226 	Wharton
atom 	TXZ227 	Fort Bend
atom 	TXZ228 	Dimmit
atom 	TXZ229 	La Salle
atom 	TXZ230 	McMullen
atom 	TXZ231 	Live Oak
atom 	TXZ232 	Bee
atom 	TXZ233 	Goliad
atom 	TXZ234 	Victoria
atom 	TXZ235 	Jackson
atom 	TXZ236 	Matagorda
atom 	TXZ237 	Brazoria
atom 	TXZ238 	Galveston
atom 	TXZ239 	Webb
atom 	TXZ240 	Duval
atom 	TXZ241 	Jim Wells
atom 	TXZ242 	Kleberg
atom 	TXZ243 	Nueces
atom 	TXZ244 	San Patricio
atom 	TXZ245 	Aransas
atom 	TXZ246 	Refugio
atom 	TXZ247 	Calhoun
atom 	TXZ248 	Zapata
atom 	TXZ249 	Jim Hogg
atom 	TXZ250 	Brooks
atom 	TXZ251 	Kenedy
atom 	TXZ252 	Starr
atom 	TXZ253 	Hidalgo
atom 	TXZ254 	Inland Willacy
atom 	TXZ255 	Inland Cameron
atom 	TXZ256 	Coastal Willacy
atom 	TXZ257 	Coastal Cameron
atom 	TXZ258 	Guadalupe Mountains
atom 	TXZ259 	Northern Jasper
atom 	TXZ260 	Northern Newton
atom 	TXZ261 	Southern Jasper
atom 	TXZ262 	Southern Newton
atom 	TXZ418 	Western El Paso County
atom 	TXZ419 	Eastern/Central El Paso County
atom 	TXZ420 	Northern Hudspeth Highlands/Hueco Mountains
atom 	TXZ421 	Salt Basin
atom 	TXZ422 	Southern Hudspeth Highlands
atom 	TXZ423 	Rio Grande Valley of Eastern El Paso/Western Hudspeth Counties
atom 	TXZ424 	Rio Grande Valley of Eastern Hudspeth County
