Fire Name,Longitude,Latitude,0
833,-81.126,26.514,0
BUZZARD,-80.902,26.010,0
CASTLE,-79.140,38.560,0
CEDAR RUN,-96.634,36.456,0
CONTEXT,-80.577,25.491,0
ESCONDIDO TANKS,-105.863,32.131,0
MICCO SCRUB 05,-80.596,27.881,0
OK BAR,-108.715,31.545,0
RATTLESNAKE,-109.506,33.656,0
TINDER,-111.162,34.557,0
VOLTAGE,-118.829,43.272,0
