 	ARZ001 	Benton
atom 	ARZ002 	Carroll
atom 	ARZ003 	Boone
atom 	ARZ004 	Marion
atom 	ARZ005 	Baxter
atom 	ARZ006 	Fulton
atom 	ARZ007 	Sharp
atom 	ARZ008 	Randolph
atom 	ARZ009 	Clay
atom 	ARZ010 	Washington
atom 	ARZ011 	Madison
atom 	ARZ012 	Newton
atom 	ARZ013 	Searcy
atom 	ARZ014 	Stone
atom 	ARZ015 	Izard
atom 	ARZ016 	Independence
atom 	ARZ017 	Lawrence
atom 	ARZ018 	Greene
atom 	ARZ019 	Crawford
atom 	ARZ020 	Franklin
atom 	ARZ021 	Johnson
atom 	ARZ022 	Pope
atom 	ARZ023 	Van Buren
atom 	ARZ024 	Cleburne
atom 	ARZ025 	Jackson
atom 	ARZ026 	Craighead
atom 	ARZ027 	Poinsett
atom 	ARZ028 	Mississippi
atom 	ARZ029 	Sebastian
atom 	ARZ030 	Logan
atom 	ARZ031 	Conway
atom 	ARZ032 	Faulkner
atom 	ARZ033 	White
atom 	ARZ034 	Woodruff
atom 	ARZ035 	Cross
atom 	ARZ036 	Crittenden
atom 	ARZ037 	Scott
atom 	ARZ038 	Yell
atom 	ARZ039 	Perry
atom 	ARZ040 	Polk
atom 	ARZ041 	Montgomery
atom 	ARZ042 	Garland
atom 	ARZ043 	Saline
atom 	ARZ044 	Pulaski
atom 	ARZ045 	Lonoke
atom 	ARZ046 	Prairie
atom 	ARZ047 	Monroe
atom 	ARZ048 	St. Francis
atom 	ARZ049 	Lee
atom 	ARZ050 	Sevier
atom 	ARZ051 	Howard
atom 	ARZ052 	Pike
atom 	ARZ053 	Clark
atom 	ARZ054 	Hot Spring
atom 	ARZ055 	Grant
atom 	ARZ056 	Jefferson
atom 	ARZ057 	Arkansas
atom 	ARZ058 	Phillips
atom 	ARZ059 	Little River
atom 	ARZ060 	Hempstead
atom 	ARZ061 	Nevada
atom 	ARZ062 	Dallas
atom 	ARZ063 	Cleveland
atom 	ARZ064 	Lincoln
atom 	ARZ065 	Desha
atom 	ARZ066 	Ouachita
atom 	ARZ067 	Calhoun
atom 	ARZ068 	Bradley
atom 	ARZ069 	Drew
atom 	ARZ070 	Miller
atom 	ARZ071 	Lafayette
atom 	ARZ072 	Columbia
atom 	ARZ073 	Union
atom 	ARZ074 	Ashley
atom 	ARZ075 	Chicot
